DEBUG: 2025-12-10T14:03:00 | Stage1: 0.80 (short) | Timing: 0.54
DEBUG: 2025-12-10T14:04:00 | Stage1: 0.59 (short) | Timing: 0.40
DEBUG: 2025-12-10T14:05:00 | Stage1: 0.80 (short) | Timing: 0.39
DEBUG: 2025-12-10T14:06:00 | Stage1: 0.91 (short) | Timing: 0.25
DEBUG: 2025-12-10T14:07:00 | Stage1: 0.92 (short) | Timing: 0.32
DEBUG: 2025-12-10T14:08:00 | Stage1: 0.90 (short) | Timing: 0.37
DEBUG: 2025-12-10T14:09:00 | Stage1: 0.94 (short) | Timing: 0.39
DEBUG: 2025-12-10T14:10:00 | Stage1: 0.94 (short) | Timing: 0.37
DEBUG: 2025-12-10T14:11:00 | Stage1: 0.94 (short) | Timing: 0.35
DEBUG: 2025-12-10T14:12:00 | Stage1: 0.97 (short) | Timing: 0.31
DEBUG: 2025-12-10T14:13:00 | Stage1: 0.96 (short) | Timing: 0.29
DEBUG: 2025-12-10T14:14:00 | Stage1: 0.95 (short) | Timing: 0.27
DEBUG: 2025-12-10T14:15:00 | Stage1: 0.91 (short) | Timing: 0.21
DEBUG: 2025-12-10T14:16:00 | Stage1: 0.87 (short) | Timing: 0.21
DEBUG: 2025-12-10T14:17:00 | Stage1: 0.82 (short) | Timing: 0.29
DEBUG: 2025-12-10T14:18:00 | Stage1: 0.69 (short) | Timing: 0.25
DEBUG: 2025-12-10T14:19:00 | Stage1: 0.73 (short) | Timing: 0.20
DEBUG: 2025-12-10T14:20:00 | Stage1: 0.59 (short) | Timing: 0.23
DEBUG: 2025-12-10T14:21:00 | Stage1: 0.52 (long) | Timing: 0.32
DEBUG: 2025-12-10T14:22:00 | Stage1: 0.58 (short) | Timing: 0.34
DEBUG: 2025-12-10T14:23:00 | Stage1: 0.56 (short) | Timing: 0.48
DEBUG: 2025-12-10T14:24:00 | Stage1: 0.59 (short) | Timing: 0.38
DEBUG: 2025-12-10T14:25:00 | Stage1: 0.59 (long) | Timing: 0.46
DEBUG: 2025-12-10T14:26:00 | Stage1: 0.80 (long) | Timing: 0.37
DEBUG: 2025-12-10T14:46:00 | Stage1: 0.80 (short) | Timing: 0.52
DEBUG: 2025-12-10T19:01:00 | Stage1: 0.64 (short) | Timing: 0.23
DEBUG: 2025-12-10T19:13:00 | Stage1: 0.55 (short) | Timing: 0.81
DEBUG: 2025-12-10T19:35:00 | Stage1: 0.60 (long) | Timing: 0.93
DEBUG: 2025-12-10T19:36:00 | Stage1: 0.87 (long) | Timing: 0.97
DEBUG: 2025-12-10T19:45:00 | Stage1: 0.95 (long) | Timing: 0.98
DEBUG: 2025-12-10T20:13:00 | Stage1: 0.53 (long) | Timing: 0.98
DEBUG: 2025-12-10T20:33:00 | Stage1: 0.84 (long) | Timing: 0.87
DEBUG: 2025-12-10T20:53:00 | Stage1: 0.65 (long) | Timing: 0.89
DEBUG: 2025-12-10T20:54:00 | Stage1: 0.74 (long) | Timing: 0.79
DEBUG: 2025-12-10T20:55:00 | Stage1: 0.54 (short) | Timing: 0.68
DEBUG: 2025-12-10T20:56:00 | Stage1: 0.54 (short) | Timing: 0.58
DEBUG: 2025-12-10T21:16:00 | Stage1: 0.55 (long) | Timing: 0.76
DEBUG: 2025-12-10T21:17:00 | Stage1: 0.57 (short) | Timing: 0.35
DEBUG: 2025-12-10T21:18:00 | Stage1: 0.51 (long) | Timing: 0.12
DEBUG: 2025-12-10T21:19:00 | Stage1: 0.65 (long) | Timing: 0.07
DEBUG: 2025-12-10T21:20:00 | Stage1: 0.78 (long) | Timing: 0.08
DEBUG: 2025-12-10T21:21:00 | Stage1: 0.82 (long) | Timing: 0.14
DEBUG: 2025-12-10T21:22:00 | Stage1: 0.82 (long) | Timing: 0.19
DEBUG: 2025-12-10T21:23:00 | Stage1: 0.71 (long) | Timing: 0.37
DEBUG: 2025-12-10T21:24:00 | Stage1: 0.80 (long) | Timing: 0.22
DEBUG: 2025-12-10T21:25:00 | Stage1: 0.57 (long) | Timing: 0.28
DEBUG: 2025-12-10T21:26:00 | Stage1: 0.53 (short) | Timing: 0.11
DEBUG: 2025-12-10T21:27:00 | Stage1: 0.78 (short) | Timing: 0.06
DEBUG: 2025-12-10T21:28:00 | Stage1: 0.57 (short) | Timing: 0.07
DEBUG: 2025-12-10T21:29:00 | Stage1: 0.65 (short) | Timing: 0.07
DEBUG: 2025-12-10T21:30:00 | Stage1: 0.83 (short) | Timing: 0.09
DEBUG: 2025-12-10T21:31:00 | Stage1: 0.67 (short) | Timing: 0.10
DEBUG: 2025-12-10T21:32:00 | Stage1: 0.81 (short) | Timing: 0.19
DEBUG: 2025-12-10T21:33:00 | Stage1: 0.68 (short) | Timing: 0.14
DEBUG: 2025-12-10T21:34:00 | Stage1: 0.68 (short) | Timing: 0.09
DEBUG: 2025-12-10T21:35:00 | Stage1: 0.73 (short) | Timing: 0.11
DEBUG: 2025-12-10T21:36:00 | Stage1: 0.56 (short) | Timing: 0.31
DEBUG: 2025-12-10T21:37:00 | Stage1: 0.77 (long) | Timing: 0.16
DEBUG: 2025-12-10T21:38:00 | Stage1: 0.51 (long) | Timing: 0.10
DEBUG: 2025-12-10T21:39:00 | Stage1: 0.60 (short) | Timing: 0.09
DEBUG: 2025-12-10T21:40:00 | Stage1: 0.66 (long) | Timing: 0.13
